Ticker,Security,Sector,Score
FCX,Freeport-McMoRan Inc.,Materials,669.3
ALGN,Align Technology,Health Care,547.31
LB,L Brands Inc.,Consumer Discretionary,543.21
CARR,Carrier Global,Industrials,514.85
PWR,Quanta Services Inc.,Industrials,471.67
SIVB,SVB Financial,Financials,460.99
VIAC,ViacomCBS,Communication Services,456.74
QCOM,QUALCOMM Inc.,Information Technology,453.64
URI,United Rentals Inc.,Industrials,447.13
FDX,FedEx Corporation,Industrials,439.44
DE,Deere & Co.,Industrials,439.38
ALB,Albemarle Corp,Materials,430.16
PYPL,PayPal,Information Technology,416.36
IDXX,IDEXX Laboratories,Health Care,415.28
GPS,Gap Inc.,Consumer Discretionary,411.49
NVDA,Nvidia Corporation,Information Technology,399.73
APTV,Aptiv PLC,Consumer Discretionary,399.61
QRVO,Qorvo,Information Technology,393.64
TGT,Target Corp.,Consumer Discretionary,390.58
AAPL,Apple Inc.,Information Technology,387.27
ZBRA,Zebra Technologies,Information Technology,381.69
EMN,Eastman Chemical,Materials,381.63
CDNS,Cadence Design Systems,Information Technology,379.6
MOS,The Mosaic Company,Materials,379.3
SNPS,Synopsys Inc.,Information Technology,378.57
AVGO,Broadcom Inc.,Information Technology,378.24
AMD,Advanced Micro Devices Inc,Information Technology,377.54
MTD,Mettler Toledo,Health Care,376.63
LRCX,Lam Research,Information Technology,376.2
PKI,PerkinElmer,Health Care,375.83
XLNX,Xilinx,Information Technology,370.43
IPGP,IPG Photonics Corp.,Information Technology,370.1
KLAC,KLA Corporation,Information Technology,367.32
MXIM,Maxim Integrated Products Inc,Information Technology,367.27
CAT,Caterpillar Inc.,Industrials,362.53
NWSA,News Corp. Class A,Communication Services,361.63
NOW,ServiceNow,Information Technology,360.4
GM,General Motors,Consumer Discretionary,356.38
A,Agilent Technologies Inc,Health Care,355.51
TEL,TE Connectivity Ltd.,Information Technology,354.99
TWTR,Twitter Inc.,Communication Services,354.17
UPS,United Parcel Service,Industrials,353.8
NKE,Nike Inc.,Consumer Discretionary,353.7
TTWO,Take-Two Interactive,Communication Services,347.58
CMG,Chipotle Mexican Grill,Consumer Discretionary,347.3
PH,Parker-Hannifin,Industrials,346.01
NWS,News Corp. Class B,Communication Services,345.54
DD,DuPont de Nemours Inc,Materials,345.34
TMO,Thermo Fisher Scientific,Health Care,344.78
CMI,Cummins Inc.,Industrials,343.56
GLW,Corning Inc.,Information Technology,343.55
TXN,Texas Instruments,Information Technology,342.92
NWL,Newell Brands,Consumer Discretionary,338.57
AES,AES Corp,Utilities,336.96
WHR,Whirlpool Corp.,Consumer Discretionary,335.75
DHR,Danaher Corp.,Health Care,335.32
MCHP,Microchip Technology,Information Technology,334.5
MS,Morgan Stanley,Financials,334.1
WST,West Pharmaceutical Services,Health Care,329.99
HOLX,Hologic,Health Care,329.57
DOW,Dow Inc.,Materials,327.93
DFS,Discover Financial Services,Financials,325.59
CE,Celanese,Materials,325.37
F,Ford Motor Company,Consumer Discretionary,324.49
PKG,Packaging Corporation of America,Materials,322.41
BLK,BlackRock,Financials,321.33
TT,Trane Technologies plc,Industrials,320.26
ADSK,Autodesk Inc.,Information Technology,319.79
AMAT,Applied Materials Inc.,Information Technology,319.46
APH,Amphenol Corp,Information Technology,318.4
CTVA,Corteva,Materials,318.09
ABMD,ABIOMED Inc,Health Care,317.14
PNR,Pentair plc,Industrials,315.88
SEE,Sealed Air,Materials,313.91
IR,Ingersoll Rand,Industrials,312.34
SWKS,Skyworks Solutions,Information Technology,311.95
EXPE,Expedia Group,Consumer Discretionary,310.31
EL,Est‚e Lauder Companies,Consumer Staples,310.29
AMP,Ameriprise Financial,Financials,310.26
BIO,Bio-Rad Laboratories,Health Care,310.19
ADM,Archer-Daniels-Midland Co,Consumer Staples,309.99
PPG,PPG Industries,Materials,308.38
IP,International Paper,Materials,307.26
JCI,Johnson Controls International,Industrials,306.94
CPRT,Copart Inc,Industrials,305.37
PAYC,Paycom,Information Technology,302.82
NSC,Norfolk Southern Corp.,Industrials,302.65
INTU,Intuit Inc.,Information Technology,300.49
ANSS,ANSYS,Information Technology,300.49
ISRG,Intuitive Surgical Inc.,Health Care,300.43
ROL,Rollins Inc.,Industrials,300.12
AME,AMETEK Inc.,Industrials,299.19
